date,count
04 Feb 2012,10
05 Feb 2012,10
06 Feb 2012,13
07 Feb 2012,8
08 Feb 2012,15
09 Feb 2012,17
10 Feb 2012,8
11 Feb 2012,11
12 Feb 2012,5
13 Feb 2012,15
14 Feb 2012,15
15 Feb 2012,11
16 Feb 2012,11
17 Feb 2012,14
18 Feb 2012,10
19 Feb 2012,12
20 Feb 2012,13
21 Feb 2012,9
22 Feb 2012,7
23 Feb 2012,9
24 Feb 2012,8
25 Feb 2012,11
26 Feb 2012,11
27 Feb 2012,17
28 Feb 2012,10
29 Feb 2012,6
01 Mar 2012,10
02 Mar 2012,10
03 Mar 2012,15
04 Mar 2012,12
05 Mar 2012,12
06 Mar 2012,14
07 Mar 2012,4
08 Mar 2012,12
09 Mar 2012,9
10 Mar 2012,9
11 Mar 2012,9
12 Mar 2012,10
13 Mar 2012,12
14 Mar 2012,13
15 Mar 2012,15
16 Mar 2012,9
17 Mar 2012,10
18 Mar 2012,14
19 Mar 2012,5
20 Mar 2012,9
21 Mar 2012,10
22 Mar 2012,11
23 Mar 2012,10
24 Mar 2012,10
25 Mar 2012,5
26 Mar 2012,9
27 Mar 2012,8
28 Mar 2012,9
29 Mar 2012,11
30 Mar 2012,8
31 Mar 2012,15
01 Apr 2012,7
02 Apr 2012,13
03 Apr 2012,10
04 Apr 2012,11
05 Apr 2012,9
06 Apr 2012,13
07 Apr 2012,18
08 Apr 2012,12
09 Apr 2012,5
10 Apr 2012,11
11 Apr 2012,13
12 Apr 2012,16
13 Apr 2012,10
14 Apr 2012,12
15 Apr 2012,6
16 Apr 2012,12
17 Apr 2012,9
18 Apr 2012,9
19 Apr 2012,10
20 Apr 2012,10
21 Apr 2012,6
22 Apr 2012,4
23 Apr 2012,5
24 Apr 2012,9
25 Apr 2012,7
26 Apr 2012,7
27 Apr 2012,8
28 Apr 2012,9
29 Apr 2012,15
30 Apr 2012,12
01 May 2012,9
02 May 2012,10
03 May 2012,10
04 May 2012,10
05 May 2012,13
06 May 2012,10
07 May 2012,14
08 May 2012,11
09 May 2012,13
10 May 2012,10
11 May 2012,14
12 May 2012,11
13 May 2012,10
14 May 2012,20
15 May 2012,11
16 May 2012,10
17 May 2012,10
18 May 2012,11
19 May 2012,8
20 May 2012,7
21 May 2012,7
22 May 2012,19
23 May 2012,11
24 May 2012,8
25 May 2012,17
26 May 2012,16
27 May 2012,5
28 May 2012,10
29 May 2012,8
30 May 2012,13
31 May 2012,15
01 Jun 2012,7
02 Jun 2012,16
03 Jun 2012,9
04 Jun 2012,8
05 Jun 2012,10
06 Jun 2012,14
07 Jun 2012,8
08 Jun 2012,10
09 Jun 2012,10
10 Jun 2012,16
11 Jun 2012,12
12 Jun 2012,9
13 Jun 2012,12
14 Jun 2012,15
15 Jun 2012,6
16 Jun 2012,8
17 Jun 2012,4
18 Jun 2012,7
19 Jun 2012,10
20 Jun 2012,10
21 Jun 2012,18
22 Jun 2012,15
23 Jun 2012,8
24 Jun 2012,10
25 Jun 2012,11
26 Jun 2012,7
27 Jun 2012,4
28 Jun 2012,13
29 Jun 2012,8
30 Jun 2012,8
01 Jul 2012,13
02 Jul 2012,11
03 Jul 2012,7
04 Jul 2012,8
05 Jul 2012,8
06 Jul 2012,14
07 Jul 2012,7
08 Jul 2012,12
09 Jul 2012,8
10 Jul 2012,11
11 Jul 2012,9
12 Jul 2012,13
13 Jul 2012,7
14 Jul 2012,9
15 Jul 2012,11
16 Jul 2012,11
17 Jul 2012,8
18 Jul 2012,9
19 Jul 2012,7
20 Jul 2012,11
21 Jul 2012,14
22 Jul 2012,7
23 Jul 2012,11
24 Jul 2012,6
25 Jul 2012,2
26 Jul 2012,8
27 Jul 2012,7
28 Jul 2012,7
29 Jul 2012,16
30 Jul 2012,5
31 Jul 2012,13
01 Aug 2012,3
02 Aug 2012,7
03 Aug 2012,5
04 Aug 2012,14
05 Aug 2012,11
06 Aug 2012,19
07 Aug 2012,16
08 Aug 2012,14
09 Aug 2012,14
10 Aug 2012,9
11 Aug 2012,9
12 Aug 2012,11
13 Aug 2012,12
14 Aug 2012,14
15 Aug 2012,9
16 Aug 2012,15
17 Aug 2012,6
18 Aug 2012,10
19 Aug 2012,7
20 Aug 2012,8
21 Aug 2012,11
22 Aug 2012,8
23 Aug 2012,10
24 Aug 2012,8
25 Aug 2012,10
26 Aug 2012,5
27 Aug 2012,7
28 Aug 2012,10
29 Aug 2012,6
30 Aug 2012,15
31 Aug 2012,9
01 Sep 2012,9
02 Sep 2012,11
03 Sep 2012,9
04 Sep 2012,4
05 Sep 2012,14
06 Sep 2012,17
07 Sep 2012,8
08 Sep 2012,14
09 Sep 2012,4
10 Sep 2012,9
11 Sep 2012,7
12 Sep 2012,9
13 Sep 2012,7
14 Sep 2012,8
15 Sep 2012,10
16 Sep 2012,12
17 Sep 2012,12
18 Sep 2012,8
19 Sep 2012,8
20 Sep 2012,10
21 Sep 2012,8
22 Sep 2012,12
23 Sep 2012,9
24 Sep 2012,12
25 Sep 2012,12
26 Sep 2012,12
27 Sep 2012,6
28 Sep 2012,14
29 Sep 2012,4
30 Sep 2012,10
01 Oct 2012,8
02 Oct 2012,14
03 Oct 2012,19
04 Oct 2012,9
05 Oct 2012,9
06 Oct 2012,10
07 Oct 2012,3
08 Oct 2012,4
17 Oct 2012,12
02 Nov 2012,2
